AP,Localisation,ID,Genre,Nom vernaculaire,Famille,Species,Construction,Bois de chauffe,Pharmaceutique,Valeur culturelle,Cosmetique,Vannerie,Nourriture,Betail,Outils diverses,Commerce
Ankarafantsika,Ambodimanga,Inf_1,Homme,Kitata,PHYLLANTACEAE,Bridelia pervilleana,1,1,1,1,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_1,Homme,Adabo,MORACEAE,Ficus cocculifolia,0,0,1,0,1,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_1,Homme,Madiro,FABACEAE,Tamarindus indica,1,0,1,1,1,0,1,0,1,0
Ankarafantsika,Ambodimanga,Inf_1,Homme,Manary,FABACEAE,Dalbergia sp,1,0,1,1,0,0,0,0,1,0
Ankarafantsika,Ambodimanga,Inf_1,Homme,Katrafay,RUTACEAE,Thilachium angustifolium,0,0,1,0,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_1,Homme,Masiba,DIOSCOREACEAE,Dioscorea maciba,0,0,0,0,0,0,1,0,0,1
Ankarafantsika,Ambodimanga,Inf_1,Homme,Andriambavifohy,APOCYNACEAE,Petchia erythrocarpa,0,0,1,0,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_1,Homme,Lamboenjana,LYTHRACEAE,Woodfordia fruticosa,0,0,1,0,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_1,Homme,Akata,POACEAE,Herbes,0,0,0,0,0,0,0,1,0,0
Ankarafantsika,Ambodimanga,Inf_1,Homme,Tapiaka,MALPIGHIACEAE,Acridocarpus excelsus,1,0,1,0,0,0,0,1,0,0
Ankarafantsika,Ambodimanga,Inf_1,Homme,Koropoka,PHYLLANTACEAE,Margaritaria rhomboidalis,1,0,0,0,0,0,1,0,1,0
Ankarafantsika,Ambodimanga,Inf_2,Femme,Kitata,PHYLLANTACEAE,Bridelia pervilleana,1,1,1,1,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_2,Femme,Mololo,POACEAE,Foins,0,0,0,0,0,0,0,1,0,0
Ankarafantsika,Ambodimanga,Inf_2,Femme,Masiba,DIOSCOREACEAE,Dioscorea maciba,0,0,0,0,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_3,Femme,Mandravasarotra,CANNELACEAE,Cinnamosma fragrans,0,0,1,1,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_3,Femme,Masiba,DIOSCOREACEAE,Dioscorea maciba,0,0,0,0,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_3,Femme,Mololo,POACEAE,Foins,0,0,0,0,0,0,0,1,0,0
Ankarafantsika,Ambodimanga,Inf_3,Femme,Ramy,BURSERACEAE,Canarium madagascariense,0,0,0,1,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_3,Femme,Kabija,RHAMNACEAE,Bathiorhamnus reticulatus,0,1,0,0,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_3,Femme,Tsiresitosika,,sp 26,0,0,1,0,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_3,Femme,Mandresy,MORACEAE,Ficus reflexa,0,0,1,1,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_3,Femme,Tsilaitra,OLEACEAE,Noronhia boinensis ,0,0,1,0,1,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_3,Femme,Katrafay,RUTACEAE,Cedrelopsis grevei,0,1,1,1,0,0,0,0,1,0
Ankarafantsika,Ambodimanga,Inf_4,Homme,Bozaka,POACEAE,Aristida rufescens,1,0,0,0,0,0,0,0,1,0
Ankarafantsika,Ambodimanga,Inf_4,Homme,Masonjoany,ASTERACEA,Brachylaena merana,0,0,0,0,1,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_4,Homme,Masiba,DIOSCOREACEAE,Dioscorea maciba,0,0,0,0,0,0,1,0,0,1
Ankarafantsika,Ambodimanga,Inf_4,Homme,Mokotra,LOGANIACEAE,Strychnos spinosa,0,0,1,0,0,0,1,0,0,1
Ankarafantsika,Ambodimanga,Inf_4,Homme,Katrafay,RUTACEAE,Cedrelopsis grevei,0,1,1,1,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_5,Femme,Katrafay,RUTACEAE,Cedrelopsis grevei,1,0,0,0,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_5,Femme,Madiro,FABACEAE,Tamarindus indica,1,0,1,0,1,0,1,0,1,0
Ankarafantsika,Ambodimanga,Inf_5,Femme,Mololo,POACEAE,Foins,0,0,0,0,0,0,0,1,0,0
Ankarafantsika,Ambodimanga,Inf_5,Femme,Masonjoany,ASTERACEA,Brachylaena merana,0,0,0,0,1,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_5,Femme,Tamotamohazo,OROBANCHACEAE,Radamaea montana,0,0,0,0,1,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_6,Homme,Katrafay,RUTACEAE,Cedrelopsis grevei,1,0,1,0,0,0,0,0,1,0
Ankarafantsika,Ambodimanga,Inf_6,Homme,Masiba,DIOSCOREACEAE,Dioscorea maciba,0,0,0,0,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_6,Homme,Kabija,RHAMNACEAE,Bathiorhamnus reticulatus,0,1,0,0,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_6,Homme,Antaly,DIOSCOREACEAE,Dioscorea antaly,0,0,0,0,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_6,Homme,Manjakabentany,FABACEAE,Baudouinia fluggeiformis,1,0,1,1,0,0,0,0,1,0
Ankarafantsika,Ambodimanga,Inf_6,Homme,Mandravasarotra,CANNELACEAE,Cinnamosma fragrans,0,0,0,1,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_6,Homme,Kitata,PHYLLANTACEAE,Bridelia pervilleana,1,0,0,0,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_6,Homme,Manga,ANACARDIACEAE,Mangifera indica,0,1,0,0,0,0,0,0,0,1
Ankarafantsika,Ambodimanga,Inf_6,Homme,Andriambavifohy,APOCYNACEAE,Petchia erythrocarpa,0,0,1,0,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_6,Homme,Votamenaka,COMBRETACEAE,Combretum coccineum,0,0,1,0,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_6,Homme,Hazoambo,SALICACEAE,Homalium nudiflorum,1,0,1,0,0,0,0,0,1,0
Ankarafantsika,Ambodimanga,Inf_7,Femme,Hazoambo,SALICACEAE,Homalium nudiflorum,1,0,1,0,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_7,Femme,Kitata,PHYLLANTACEAE,Bridelia pervilleana,1,1,1,1,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_7,Femme,Akata,POACEAE,Herbes,0,0,0,0,0,0,0,1,0,0
Ankarafantsika,Ambodimanga,Inf_7,Femme,Masiba,DIOSCOREACEAE,Dioscorea maciba,0,0,0,0,0,0,1,0,0,0
Ankarafantsika,Ambodimanga,Inf_7,Femme,Katrafay,RUTACEAE,Cedrelopsis grevei,1,0,1,1,0,0,0,0,1,0
Ankarafantsika,Ambodimanga,Inf_7,Femme,Mandravasarotra,CANNELACEAE,Cinnamosma fragrans,0,0,1,0,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_7,Femme,Andriambavifohy,APOCYNACEAE,Petchia erythrocarpa,0,0,1,0,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_7,Femme,Ratendrika,LOGANIACEAE,Strychnos myrtoides,0,0,1,0,0,0,0,0,0,0
Ankarafantsika,Ambodimanga,Inf_7,Femme,Hazomby,LOGANIACEAE,Strychnos decussata,1,1,0,0,0,0,0,0,1,0
Ankarafantsika,Ambodimanga,Inf_7,Femme,Tsimatimanota,CALOPHYLLACEAE,Mammea punctata,1,0,0,0,0,0,0,0,1,0
Ankarafantsika,Ampijoroa,Inf_8,Femme,Maevalafika,CHRYSOBALANACEAE,Grangeria porosa,1,0,1,0,0,0,0,0,0,0
Ankarafantsika,Ampijoroa,Inf_8,Femme,Katrafay,RUTACEAE,Cedrelopsis grevei,0,1,1,0,0,0,0,0,1,0
Ankarafantsika,Ampijoroa,Inf_8,Femme,Tamotamohazo,OROBANCHACEAE,Radamaea montana,0,0,0,0,0,0,0,0,0,0
Ankarafantsika,Ampijoroa,Inf_8,Femme,Adabo,MORACEAE,Ficus cocculifolia,0,0,0,0,1,0,0,0,0,0
Ankarafantsika,Ampijoroa,Inf_8,Femme,Manjakabentany,FABACEAE,Baudouinia fluggeiformis,0,0,0,1,0,0,0,0,1,0
Ankarafantsika,Ampijoroa,Inf_8,Femme,Masonjoany,ASTERACEA,Brachylaena merana,0,0,0,0,1,0,0,0,0,0
Ankarafantsika,Ampijoroa,Inf_8,Femme,Godroa,APOCYNACEAE,Mascarenhasia lisianthiflora,0,1,1,0,1,0,1,0,0,0
Ankarafantsika,Ampijoroa,Inf_8,Femme,Akata,POACEAE,Herbes,0,0,0,0,0,0,0,1,0,0
