ap,site,tf,nv,sp,famille,dhp,hfut,hmax,forme,type,phenologie,diameter_class,reg
Mariarano,Ambongalatsaka,Foret,Ambay,Isolona madagascariensis,ANNONACEAE,1.24,0.65,1.1,Arbre,Phanerophyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Ambay,Isolona madagascariensis,ANNONACEAE,1,0.32,1,Arbre,Chamephyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,2.05,1.12,3.02,Arbuste,Phanerophyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,4,3,6,Arbuste,Phanerophyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,4,1.8,6,Arbuste,Phanerophyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,7,2,7,Arbuste,Phanerophyte,,"[5,10)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,7,6,8,Arbuste,Phanerophyte,,"[5,10)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,6,2,7,Arbuste,Phanerophyte,,"[5,10)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,5,1,5,Arbuste,Phanerophyte,,"[5,10)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,4,0.5,6,Arbuste,Phanerophyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,2,0.51,1.25,Arbuste,Phanerophyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,1.31,0.63,1.1,Arbuste,Phanerophyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,1.75,1,1.8,Arbuste,Phanerophyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,1.2,0.8,1.15,Arbuste,Phanerophyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,1.3,1,1,Arbuste,Phanerophyte,,"[0,5)",reg
Mariarano,Ambongalatsaka,Foret,Fandriandalotra,Uvaria combretifolia,ANNONACEAE,2.2,1.3,2.5,Arbuste,Phanerophyte,,"[0,5)",reg
